t,y,type
107.825,103.3244366,conc
108.325,104.4564477,conc
108.825,103.0162615,conc
109.325,105.3315141,conc
109.8233333,105.6755616,conc
110.3233333,104.5329658,conc
110.8233333,105.8317697,conc
111.3233333,104.2130745,conc
111.825,105.5704607,conc
112.325,105.9907736,conc
112.825,108.9242138,conc
